date,open,high,low,close,volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,is_trading_day
2018-01-01 00:00:00,13831.01,13850.0,13641.01,13786.99,440.402799,4180,215.635454,2970558.1938471,1
2018-01-01 00:30:00,13799.77,13924.6,13730.0,13762.99,253.403143,2822,129.9487,1795395.28798766,1
2018-01-01 01:00:00,13776.02,13950.0,13762.99,13813.06,198.203602,2308,100.752193,1395923.24959193,1
2018-01-01 01:30:00,13794.55,13844.0,13700.0,13737.1,146.988893,1879,65.553963,902658.57709648,1
2018-01-01 02:00:00,13745.0,13875.0,13739.59,13773.99,174.837237,2025,90.989332,1255284.9179785,1
2018-01-01 02:30:00,13773.99,13820.78,13700.0,13780.16,103.204305,1616,55.715189,767582.67508994,1
2018-01-01 03:00:00,13783.09,13960.0,13780.13,13915.75,160.845475,2469,101.904036,1416685.34307456,1
2018-01-01 03:30:00,13915.75,14050.11,13891.2,13971.95,187.056859,2414,108.745828,1521269.68687582,1
2018-01-01 04:00:00,13971.95,13976.3,13901.0,13920.03,146.060244,1985,58.685786,817880.59914136,1
2018-01-01 04:30:00,13967.26,14005.0,13900.01,13940.99,93.724218,1567,41.503111,579215.46073056,1
2018-01-01 05:00:00,13930.0,14012.0,13869.14,13898.98,130.517675,1707,55.561264,774719.97077093,1
2018-01-01 05:30:00,13899.0,13978.98,13782.0,13820.5,155.766546,1515,58.727506,813370.97983726,1
2018-01-01 06:00:00,13829.97,13829.99,13645.03,13724.0,146.32249,2099,96.597501,1325775.39018023,1
2018-01-01 06:30:00,13721.05,13818.64,13651.0,13716.36,100.130616,1631,57.228369,786696.51314393,1
2018-01-01 07:00:00,13715.65,13715.65,13400.01,13521.12,221.752443,3033,110.913522,1499891.99930118,1
2018-01-01 07:30:00,13500.0,13690.87,13450.0,13529.01,221.603756,2195,117.608399,1590649.10646831,1
2018-01-01 08:00:00,13528.99,13595.89,13402.28,13560.0,160.399291,1837,79.393609,1072980.54307815,1
2018-01-01 08:30:00,13559.99,13559.99,13155.38,13203.06,223.297715,2697,101.446794,1357468.94987857,1
2018-01-01 09:00:00,13203.0,13411.76,13202.03,13225.0,203.728509,2607,83.771907,1115103.90829206,1
2018-01-01 09:30:00,13247.8,13418.43,13200.0,13330.18,225.336063,2280,108.466028,1443400.74935325,1
2018-01-01 10:00:00,13330.26,13611.27,13290.0,13562.37,201.29282,2485,78.869943,1060658.50451726,1
2018-01-01 10:30:00,13562.37,13611.01,13400.0,13410.03,218.79421,2304,59.048464,797382.75294017,1
2018-01-01 11:00:00,13434.98,13483.07,13322.15,13430.0,165.32277,2277,76.643098,1025861.11955295,1
2018-01-01 11:30:00,13429.99,13623.29,13401.94,13601.01,175.484559,2286,96.314537,1302196.80066317,1
2018-01-01 12:00:00,13615.2,13699.0,13532.57,13618.51,289.438804,3332,95.897077,1306302.36952534,1
2018-01-01 12:30:00,13618.51,13629.0,13526.5,13558.99,114.790242,1754,46.433981,629407.79032805,1
2018-01-01 13:00:00,13539.0,13701.13,13510.0,13687.76,157.966763,2138,80.683218,1095852.05668108,1
2018-01-01 13:30:00,13687.76,13800.0,13620.01,13780.41,107.022921,1934,45.394282,622900.65853456,1
2018-01-01 14:00:00,13780.0,13818.55,13600.0,13698.0,158.491639,2631,84.222189,1156611.39877562,1
2018-01-01 14:30:00,13698.0,13775.0,13555.02,13570.35,133.697138,1709,62.92784,859663.367965,1
2018-01-01 15:00:00,13569.98,13735.24,13520.0,13632.89,117.44258,1788,55.424761,755907.1632996,1
2018-01-01 15:30:00,13614.33,13649.96,13400.0,13499.99,154.370973,1945,67.384935,908829.83071781,1
2018-01-01 16:00:00,13499.97,13650.0,13459.11,13549.77,111.407642,1651,52.557343,712863.74974767,1
2018-01-01 16:30:00,13531.82,13670.0,13510.01,13616.99,101.688187,1477,43.912856,597057.17167901,1
2018-01-01 17:00:00,13632.0,13657.92,13497.98,13549.03,97.952976,1481,42.543889,576765.5348413,1
2018-01-01 17:30:00,13548.35,13603.77,13515.12,13570.01,71.55922,1288,25.947068,351808.52863837,1
2018-01-01 18:00:00,13573.0,13589.89,13023.8,13079.98,402.753918,4716,165.004561,2179773.96490557,1
2018-01-01 18:30:00,13050.02,13225.32,13001.13,13220.56,262.580435,2854,129.89288,1709102.95561191,1
2018-01-01 19:00:00,13220.56,13300.0,13056.23,13146.15,138.763677,1973,59.249915,781885.08549437,1
2018-01-01 19:30:00,13146.81,13245.55,13117.72,13172.42,121.729031,1645,55.913725,737835.33052209,1
2018-01-01 20:00:00,13150.05,13200.41,12815.7,12977.16,287.404244,3489,159.812318,2074941.67646285,1
2018-01-01 20:30:00,12977.16,13104.79,12921.72,13017.0,164.496882,2230,88.789458,1153472.79521453,1
2018-01-01 21:00:00,12999.71,13245.0,12750.0,12927.0,394.246119,3673,174.23931,2242429.69464992,1
2018-01-01 21:30:00,12927.01,13245.0,12833.04,13211.39,298.221243,3459,125.190298,1630257.46128993,1
2018-01-01 22:00:00,13211.39,13330.0,13120.38,13312.79,222.674185,2834,89.637809,1183392.42737445,1
2018-01-01 22:30:00,13312.79,13320.0,13220.0,13247.0,204.397772,2054,77.481914,1028823.64155547,1
2018-01-01 23:00:00,13247.0,13247.08,13020.01,13066.06,189.085472,2105,101.595094,1335476.49395886,1
2018-01-01 23:30:00,13066.1,13200.0,12966.42,13018.0,178.308094,1899,83.372215,1091215.94698512,1
2018-01-02 00:00:00,13018.0,13198.98,13000.0,13140.0,125.886517,1477,72.858336,953948.19333107,1
2018-01-02 00:30:00,13149.0,13165.99,13000.0,13022.0,102.685511,1501,47.085791,616788.64851818,1
2018-01-02 01:00:00,13007.87,13256.28,12940.0,13180.09,145.039913,1886,64.922084,851652.93702498,1
2018-01-02 01:30:00,13180.18,13211.17,13100.95,13135.0,99.326842,1381,45.423926,597629.19916557,1
2018-01-02 02:00:00,13135.0,13238.0,13106.61,13200.0,114.570013,1516,55.005617,724531.04439752,1
2018-01-02 02:30:00,13210.0,13290.65,13155.09,13240.37,137.434872,1413,87.190716,1153077.10403839,1
2018-01-02 03:00:00,13222.03,13455.0,13222.03,13380.0,232.084446,2312,126.061876,1685879.26052421,1
2018-01-02 03:30:00,13382.37,13472.0,13360.0,13399.24,179.942422,1933,101.836285,1367325.36047494,1
2018-01-02 04:00:00,13399.23,13551.99,13380.82,13516.78,182.256378,2572,103.617584,1398046.42590827,1
2018-01-02 04:30:00,13511.03,13580.67,13475.0,13481.01,144.666757,1820,64.662302,873768.36305424,1
2018-01-02 05:00:00,13494.99,13599.7,13456.0,13537.09,161.384046,1919,63.903356,864204.57067903,1
