date,open,high,low,close,label,source_idx
2022-02-04 06:25:00,36965.37,36975.75,36943.02,36960.0,2,429042
2022-02-04 06:30:00,36960.01,37004.69,36944.79,36953.54,2,429043
2022-02-04 06:35:00,36953.53,36979.98,36925.34,36978.64,2,429044
2022-02-04 06:40:00,36978.65,37010.76,36975.5,37000.31,2,429045
2022-02-04 06:45:00,37000.31,37076.1,36997.62,37010.88,2,429046
2022-02-04 06:50:00,37010.88,37067.81,36960.02,37061.16,2,429047
2022-02-04 06:55:00,37061.16,37387.0,37037.09,37311.61,3,429048
2022-02-04 07:00:00,37311.98,37343.77,37184.03,37222.48,0,429049
2022-02-04 07:05:00,37222.48,37293.85,37196.47,37268.7,0,429050
2022-02-04 07:10:00,37268.7,37281.2,37223.11,37240.65,0,429051
2022-02-04 07:15:00,37240.64,37270.12,37174.33,37204.0,0,429052
2022-02-04 07:20:00,37204.0,37263.04,37188.4,37231.27,0,429053
2022-02-04 07:25:00,37231.27,37236.99,37195.0,37196.06,0,429054
2022-02-04 07:30:00,37196.07,37210.0,37135.73,37140.1,0,429055
2022-02-04 07:35:00,37140.1,37175.43,37118.23,37148.77,0,429056
2022-02-04 07:40:00,37148.77,37193.01,37120.08,37120.08,0,429057
2022-02-04 07:45:00,37120.08,37150.0,37117.94,37143.61,0,429058
2022-02-04 07:50:00,37143.61,37159.97,37116.97,37132.55,0,429059
2022-02-04 07:55:00,37132.54,37185.92,37121.88,37180.53,0,429060
2022-02-04 08:00:00,37180.52,37180.53,37124.0,37146.98,0,429061
2022-02-04 08:05:00,37146.98,37180.45,37121.91,37173.27,0,429062
2022-02-04 08:10:00,37173.28,37173.53,37130.0,37149.69,0,429063
2022-02-04 08:15:00,37149.7,37173.68,37147.56,37150.24,0,429064
2022-02-04 08:20:00,37150.25,37155.63,37120.19,37144.78,0,429065
2022-02-04 08:25:00,37144.78,37167.28,37136.14,37154.92,0,429066
2022-02-04 08:30:00,37154.92,37161.64,37111.8,37113.01,0,429067
2022-02-04 08:35:00,37113.0,37116.1,37028.65,37036.58,1,429068
2022-02-04 08:40:00,37036.57,37099.94,37026.73,37053.87,2,429069
2022-02-04 08:45:00,37053.87,37099.52,37041.41,37087.98,2,429070
2022-02-04 08:50:00,37088.99,37169.38,37088.98,37155.16,2,429071
2022-02-04 08:55:00,37155.15,37239.94,37154.41,37168.6,2,429072
2022-02-04 09:00:00,37168.59,37185.18,37140.19,37153.96,2,429073
2022-02-04 09:05:00,37153.97,37189.64,37153.96,37169.54,2,429074
2022-02-04 09:10:00,37169.54,37273.13,37168.06,37227.21,2,429075
2022-02-04 09:15:00,37227.22,37273.77,37225.68,37268.01,2,429076
2022-02-04 09:20:00,37268.01,37348.57,37256.58,37265.34,2,429077
2022-02-04 09:25:00,37265.34,37360.08,37250.11,37352.91,2,429078
2022-02-04 09:30:00,37352.92,37352.92,37295.29,37349.99,2,429079
2022-02-04 09:35:00,37350.0,37360.77,37271.52,37356.03,2,429080
2022-02-04 09:40:00,37356.04,37445.5,37336.85,37372.14,2,429081
2022-02-04 09:45:00,37372.13,37416.93,37361.63,37408.48,3,429082
2022-02-04 09:50:00,37408.48,37413.61,37303.37,37324.0,0,429083
2022-02-04 09:55:00,37323.99,37380.14,37310.03,37326.25,0,429084
2022-02-04 10:00:00,37326.26,37349.86,37305.02,37325.1,0,429085
2022-02-04 10:05:00,37325.1,37386.9,37306.09,37372.8,0,429086
2022-02-04 10:10:00,37372.8,37381.82,37336.01,37366.87,0,429087
2022-02-04 10:15:00,37366.87,37400.0,37356.4,37372.81,0,429088
2022-02-04 10:20:00,37372.81,37420.51,37370.0,37381.13,0,429089
2022-02-04 10:25:00,37381.12,37415.34,37320.66,37356.09,0,429090
2022-02-04 10:30:00,37356.09,37399.89,37349.0,37361.01,0,429091
2022-02-04 10:35:00,37361.01,37377.35,37342.12,37343.69,0,429092
2022-02-04 10:40:00,37343.69,37350.38,37285.95,37327.96,0,429093
2022-02-04 10:45:00,37327.95,37333.62,37266.31,37318.12,0,429094
2022-02-04 10:50:00,37318.11,37347.85,37311.1,37337.26,0,429095
2022-02-04 10:55:00,37337.26,37340.0,37285.01,37297.62,0,429096
2022-02-04 11:00:00,37297.61,37356.0,37258.0,37258.93,0,429097
2022-02-04 11:05:00,37258.93,37308.46,37258.93,37299.78,0,429098
2022-02-04 11:10:00,37299.79,37319.45,37293.43,37319.24,0,429099
2022-02-04 11:15:00,37319.23,37319.24,37283.47,37287.08,0,429100
2022-02-04 11:20:00,37287.09,37287.09,37247.99,37255.8,0,429101
2022-02-04 11:25:00,37255.79,37283.94,37249.17,37283.93,0,429102
2022-02-04 11:30:00,37283.93,37295.17,37245.0,37249.42,1,429103
2022-02-04 11:35:00,37249.43,37318.06,37247.83,37271.52,2,429104
2022-02-04 11:40:00,37271.51,37332.82,37267.79,37303.18,2,429105
2022-02-04 11:45:00,37303.19,37334.93,37276.42,37330.67,2,429106
2022-02-04 11:50:00,37330.67,37348.17,37317.99,37322.42,2,429107
2022-02-04 11:55:00,37322.42,37325.25,37285.35,37289.34,2,429108
2022-02-04 12:00:00,37289.35,37299.0,37260.01,37280.25,2,429109
2022-02-04 12:05:00,37280.25,37347.61,37262.4,37331.01,2,429110
2022-02-04 12:10:00,37331.01,37455.0,37330.34,37399.73,2,429111
2022-02-04 12:15:00,37399.74,37572.1,37379.99,37541.56,2,429112
2022-02-04 12:20:00,37541.56,37650.0,37500.09,37589.93,2,429113
2022-02-04 12:25:00,37589.92,37596.73,37539.8,37556.7,2,429114
2022-02-04 12:30:00,37556.71,37689.0,37550.77,37600.1,2,429115
2022-02-04 12:35:00,37600.1,37605.24,37526.4,37572.81,2,429116
