date,open,high,low,close,label,source_idx
2024-05-04 19:25:00,63925.0,63970.57,63924.9,63944.04,0,665342
2024-05-04 19:30:00,63944.05,63944.05,63849.42,63857.37,0,665343
2024-05-04 19:35:00,63857.37,63880.7,63792.41,63845.55,0,665344
2024-05-04 19:40:00,63845.55,63924.89,63845.54,63921.79,0,665345
2024-05-04 19:45:00,63921.79,63921.8,63850.0,63850.01,0,665346
2024-05-04 19:50:00,63850.0,63925.01,63827.33,63904.02,0,665347
2024-05-04 19:55:00,63904.03,64098.63,63858.96,64066.35,0,665348
2024-05-04 20:00:00,64066.34,64158.19,64036.57,64080.55,3,665349
2024-05-04 20:05:00,64080.54,64080.55,63929.55,63973.53,2,665350
2024-05-04 20:10:00,63973.54,63981.25,63907.46,63924.1,2,665351
2024-05-04 20:15:00,63924.1,63924.11,63743.58,63815.68,2,665352
2024-05-04 20:20:00,63815.68,63896.4,63803.33,63814.22,2,665353
2024-05-04 20:25:00,63814.23,63853.02,63726.51,63746.9,2,665354
2024-05-04 20:30:00,63746.9,63758.0,63511.92,63636.45,2,665355
2024-05-04 20:35:00,63636.46,63636.46,63434.53,63493.57,1,665356
2024-05-04 20:40:00,63493.56,63584.33,63490.6,63578.8,0,665357
2024-05-04 20:45:00,63578.79,63690.0,63549.6,63666.74,0,665358
2024-05-04 20:50:00,63666.75,63691.37,63611.84,63618.07,0,665359
2024-05-04 20:55:00,63618.08,63765.77,63618.07,63730.01,0,665360
2024-05-04 21:00:00,63730.0,63761.97,63639.43,63689.99,0,665361
2024-05-04 21:05:00,63689.99,63690.0,63626.54,63654.59,0,665362
2024-05-04 21:10:00,63654.6,63662.23,63620.0,63620.5,0,665363
2024-05-04 21:15:00,63620.5,63694.59,63550.28,63672.91,0,665364
2024-05-04 21:20:00,63672.91,63739.0,63672.91,63686.99,0,665365
2024-05-04 21:25:00,63686.99,63726.89,63686.99,63726.65,0,665366
2024-05-04 21:30:00,63726.64,63790.57,63704.71,63748.78,0,665367
2024-05-04 21:35:00,63748.79,63796.55,63739.63,63787.1,0,665368
2024-05-04 21:40:00,63787.1,63795.03,63720.05,63740.09,0,665369
2024-05-04 21:45:00,63740.09,63956.0,63685.48,63885.83,3,665370
2024-05-04 21:50:00,63885.82,63899.62,63774.31,63807.92,2,665371
2024-05-04 21:55:00,63807.92,63880.51,63807.91,63819.09,2,665372
2024-05-04 22:00:00,63819.08,63846.0,63732.03,63748.13,2,665373
2024-05-04 22:05:00,63748.13,63748.13,63690.48,63725.32,2,665374
