date,pred_h3,threshold_h3,margin_h3,signal_h3,base_label_h3,base_future_return_h3,pred_h5,threshold_h5,margin_h5,signal_h5,base_label_h5,base_future_return_h5,pred_mean,pred_std,margin_min,margin_mean,signal_count,all_horizon_signal,vol_regime_z_50,range_pct_mean_14,realized_vol_z_120,buy_pressure_mean_10,signed_volume_sum_ratio_50,taker_buy_base_volume_ratio_14,quote_volume_proxy_log_delta_40,ret_close_20,meta_future_return,meta_label,fold,archive,rank
2021-01-01 00:15:00,0.4755412936197291,0.4569620778292502,0.018579215790478887,1.0,0.0,0.00039170096668451193,0.42806581573899855,0.4266718253483192,0.0013939903906793338,1.0,1.0,0.004011269257758139,0.45180355467936384,0.023737738940365266,0.0013939903906793338,0.00998660309057911,2.0,True,1.6504862449620947,0.007860744197674116,1.3521755252282328,-0.12126150620214168,-0.13074102721765737,-0.27442099202357395,-0.48082913860502074,-0.007092469004894797,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-01 00:30:00,0.4621449918512935,0.4569620778292502,0.0051829140220432945,1.0,1.0,0.0013339974295297318,0.4271648342571323,0.4266718253483192,0.0004930089088130973,1.0,1.0,0.005626822055888546,0.4446549130542129,0.017490078797080588,0.0004930089088130973,0.002837961465428196,2.0,True,1.5190108593447134,0.007282844793454768,1.0808375826213497,-0.11659040813813015,-0.10659105850591886,-0.26236745943965945,-0.2203465056183127,-0.00678593247416015,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-01 08:00:00,0.5103181596236211,0.4569620778292502,0.05335608179437096,1.0,0.0,0.0008514556931656025,0.4291755184877502,0.4266718253483192,0.002503693139430996,1.0,0.0,-0.002930409661810122,0.4697468390556857,0.04057132056793547,0.002503693139430996,0.027929887466900977,2.0,True,1.8307899217258563,0.006008893818477607,0.9114127165729365,0.030485551055047667,-0.020071279755119943,2.918429531878047,0.4485010842995365,0.014343513848469547,-0.002930409661810122,0.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-02 01:45:00,0.4976521405835505,0.4569620778292502,0.040690062754300316,1.0,0.0,0.0006910262892679437,0.4409161243255906,0.4266718253483192,0.014244298977271364,1.0,1.0,0.003002817075813367,0.46928413245457057,0.028368008128979966,0.014244298977271364,0.02746718086578584,2.0,True,0.21046815168488434,0.006288588133629604,-1.422850861847769,-0.11792514710198417,0.06144919437745434,1.3051764427804868,1.4347923622788663,-0.013307069217191048,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-02 19:15:00,0.5357056139492289,0.4569620778292502,0.0787435361199787,1.0,1.0,0.015408958885893482,0.4328165891783741,0.4266718253483192,0.006144763830054911,1.0,1.0,0.03260789902683391,0.48426110156380153,0.05144451238542738,0.006144763830054911,0.042444149975016804,2.0,True,1.5990644434866246,0.006231380940340133,-0.8783660246207275,-0.0028918853191067127,0.44459561262279135,6.033707787800495,2.289745997096599,0.01929134825414769,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-02 19:30:00,0.49990953235624597,0.4569620778292502,0.042947454526995776,1.0,1.0,0.005041220135559692,0.4321535863260066,0.4266718253483192,0.005481760977687378,1.0,1.0,0.027568704298263965,0.4660315593411263,0.03387797301511969,0.005481760977687378,0.024214607752341577,2.0,True,2.8867043464172975,0.007151794393997288,-0.44689198442522793,0.01936629028551138,0.5089278909585648,1.4317626950989988,1.9161802658715672,0.03248963896402102,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-02 19:45:00,0.5037133150983758,0.4569620778292502,0.04675123726912561,1.0,1.0,0.0220399078160622,0.4330879097573563,0.4266718253483192,0.0064160844090370706,1.0,1.0,0.02493331760555722,0.468400612427866,0.03531270267050976,0.0064160844090370706,0.02658366083908134,2.0,True,1.956072746496501,0.007618322888942991,-0.4126666167758927,0.0033612524623294116,0.4317324272087034,1.091070516435218,2.409413809540357,0.028706890756302395,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-02 20:00:00,0.48527548463158865,0.4569620778292502,0.02831340680233846,1.0,1.0,0.02547665501533439,0.4306129305391448,0.4266718253483192,0.003941105190825578,1.0,1.0,0.010723213829961201,0.4579442075853667,0.02733127704622193,0.003941105190825578,0.01612725599658202,2.0,True,1.9018988916713686,0.007872433369569698,-0.5142999377760081,0.013216078263552278,0.4474421795440711,0.09982367016579952,1.4248454685996101,0.033652482507847026,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-02 21:00:00,0.49306729190252047,0.4569620778292502,0.036105214073270275,1.0,0.0,-0.002440774710054433,0.43371167516422926,0.4266718253483192,0.007039849815910049,1.0,0.0,0.00024037932750538456,0.46338948353337484,0.029677808369145603,0.007039849815910049,0.021572531944590162,2.0,True,2.7891864012271204,0.009777656293470435,0.20779746425568169,0.0738234497722482,0.4784194123297193,-0.1670958467287854,1.8818714162647474,0.054919417463646925,0.00024037932750538456,0.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
2021-01-02 21:15:00,0.5158081057993399,0.4569620778292502,0.0588460279700897,1.0,1.0,0.005590651242361573,0.4343699978655565,0.4266718253483192,0.007698172517237312,1.0,1.0,0.017672530385617367,0.4750890518324482,0.04071905396689168,0.007698172517237312,0.033272100243663505,2.0,True,3.010854930906111,0.010317662381043523,0.40442917944245343,0.08117242140004263,0.4054771682372904,-0.09681388750914177,2.5632547640183834,0.04670289525695037,0.003,1.0,wf_01,crypto\results\crypto_btc_close_exit_seed1_12h.json,1
