split,group,tp_threshold,sample_count,hit_count,hit_rate,miss_count,miss_return_mean,close_h2_return_mean,two_sided_count,two_sided_rate
val,p1_base_signal,-0.002,17565,17565,1.0,0,,7.793309818054554e-05,,
val,p1_base_signal,-0.0015,17565,17565,1.0,0,,7.793309818054554e-05,,
val,p1_base_signal,-0.001,17565,17565,1.0,0,,7.793309818054554e-05,,
val,p1_base_signal,-0.0005,17565,17565,1.0,0,,7.793309818054554e-05,,
val,p1_base_signal,0.0,17565,17365,0.9886137204668375,200,-0.007979418942310657,7.793309818054554e-05,17173.0,0.9776828921150015
val,p1_base_signal,0.0005,17565,16166,0.920352974665528,1399,-0.006885954469960739,7.793309818054554e-05,14719.0,0.8379732422430971
val,p1_base_signal,0.001,17565,15068,0.8578423000284657,2497,-0.006090654310357419,7.793309818054554e-05,12488.0,0.7109592940506689
val,p1_base_signal,0.0015,17565,13927,0.7928835752917734,3638,-0.005628943384860939,7.793309818054554e-05,10169.0,0.5789353828636493
val,p1_base_signal,0.002,17565,12808,0.729177341303729,4757,-0.005154915128295977,7.793309818054554e-05,8000.0,0.4554511813265016
val,p1_base_signal,0.0025000000000000005,17565,11637,0.6625106746370624,5928,-0.004759271911017461,7.793309818054554e-05,6009.0,0.3421007685738685
val,p1_base_signal,0.003,17565,10586,0.6026757756902932,6979,-0.004388397672177423,7.793309818054554e-05,4530.0,0.2578992314261315
val,p1_base_signal,0.0034999999999999996,17565,9590,0.5459721036151437,7975,-0.00402929930652067,7.793309818054554e-05,3376.0,0.19220039851978366
val,p1_base_signal,0.004,17565,8602,0.48972388272132084,8963,-0.0036734055357315423,7.793309818054554e-05,2544.0,0.1448334756618275
val,p1_base_signal,0.0045000000000000005,17565,7706,0.4387133504127526,9859,-0.003368808703285051,7.793309818054554e-05,1886.0,0.10737261599772274
val,p1_base_signal,0.005,17565,6938,0.39499003700540847,10627,-0.00310198103536044,7.793309818054554e-05,1449.0,0.0824935952177626
val,p1_base_no_h1,-0.002,14604,13751,0.941591344837031,853,-0.01208186172335601,-0.000754384613193614,,
val,p1_base_no_h1,-0.0015,14604,13473,0.9225554642563681,1131,-0.011123065942265833,-0.000754384613193614,,
val,p1_base_no_h1,-0.001,14604,13130,0.8990687482881402,1474,-0.01004523489509359,-0.000754384613193614,,
val,p1_base_no_h1,-0.0005,14604,12625,0.8644891810462887,1979,-0.008894757882886043,-0.000754384613193614,,
val,p1_base_no_h1,0.0,14604,12072,0.8266228430566968,2532,-0.008031161130649498,-0.000754384613193614,,
val,p1_base_no_h1,0.0005,14604,11398,0.7804711038071761,3206,-0.007198677070752587,-0.000754384613193614,,
val,p1_base_no_h1,0.001,14604,10708,0.7332237743084087,3896,-0.006524687606917799,-0.000754384613193614,,
val,p1_base_no_h1,0.0015,14604,9893,0.6774171459874007,4711,-0.005894080476662882,-0.000754384613193614,,
val,p1_base_no_h1,0.002,14604,9041,0.6190769652150095,5563,-0.0053659680921521735,-0.000754384613193614,,
val,p1_base_no_h1,0.0025000000000000005,14604,8126,0.5564228978362092,6478,-0.004882648686548054,-0.000754384613193614,,
val,p1_base_no_h1,0.003,14604,7273,0.4980142426732402,7331,-0.004434216730040623,-0.000754384613193614,,
val,p1_base_no_h1,0.0034999999999999996,14604,6460,0.4423445631333881,8144,-0.00406143281977715,-0.000754384613193614,,
val,p1_base_no_h1,0.004,14604,5641,0.38626403725006847,8963,-0.0036734055357315423,-0.000754384613193614,,
val,p1_base_no_h1,0.0045000000000000005,14604,4951,0.339016707751301,9653,-0.003364362245254855,-0.000754384613193614,,
val,p1_base_no_h1,0.005,14604,4338,0.2970419063270337,10266,-0.0030836526978889997,-0.000754384613193614,,
val,p1_exit_after_h1_selected,-0.002,4849,4844,0.9989688595586719,5,-0.010163946224865161,0.0014843387592775091,,
val,p1_exit_after_h1_selected,-0.0015,4849,4835,0.9971128067642813,14,-0.009876720912707693,0.0014843387592775091,,
val,p1_exit_after_h1_selected,-0.001,4849,4829,0.9958754382346876,20,-0.01164624930276904,0.0014843387592775091,,
val,p1_exit_after_h1_selected,-0.0005,4849,4819,0.9938131573520314,30,-0.009618659113127462,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.0,4849,4787,0.9872138585275314,62,-0.008256674456956124,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.0005,4849,4750,0.9795834192617034,99,-0.008342504434430733,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.001,4849,4665,0.9620540317591256,184,-0.007223168642377771,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.0015,4849,4531,0.9344194679315323,318,-0.006083728517197724,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.002,4849,4328,0.8925551660136111,521,-0.005333420265166002,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.0025000000000000005,4849,4034,0.8319241080635182,815,-0.004609772539311858,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.003,4849,3719,0.7669622602598474,1130,-0.0039429228702238745,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.0034999999999999996,4849,3402,0.7015879562796453,1447,-0.0034440806430744296,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.004,4849,3042,0.6273458445040214,1807,-0.002873538362318765,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.0045000000000000005,4849,2740,0.5650649618478036,2109,-0.0024534651195830303,0.0014843387592775091,,
val,p1_exit_after_h1_selected,0.005,4849,2450,0.5052588162507734,2399,-0.0020759563432664226,0.0014843387592775091,,
val,p1_exit_after_h1_no_selected,-0.002,9755,8907,0.913070220399795,848,-0.012093170187380127,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,-0.0015,9755,8638,0.8854946181445412,1117,-0.011138687097515443,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,-0.001,9755,8301,0.8509482316760636,1454,-0.010023212688660639,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,-0.0005,9755,7806,0.8002050230650948,1949,-0.008883615226699669,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.0,9755,7285,0.7467965146078934,2470,-0.008025500472256378,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.0005,9755,6648,0.6814966683751922,3107,-0.007162230688710701,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.001,9755,6043,0.6194771911840082,3712,-0.0064900646245566376,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.0015,9755,5362,0.549666837519221,4393,-0.005880352255199173,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.002,9755,4713,0.4831368528959508,5042,-0.0053693313245718076,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.0025000000000000005,9755,4092,0.4194771911840082,5663,-0.0049219201080556475,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.003,9755,3554,0.36432598667350075,6201,-0.00452374455806722,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.0034999999999999996,9755,3058,0.3134802665299846,6697,-0.004194822188104586,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.004,9755,2599,0.26642747309072273,7156,-0.0038753842923493296,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.0045000000000000005,9755,2211,0.226652998462327,7544,-0.0036190125684311377,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected,0.005,9755,1888,0.19354177344951307,7867,-0.0033909443662174053,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected_h2,-0.002,9755,8247,0.8454126089185033,1508,-0.007775755601395943,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected_h2,-0.0015,9755,7767,0.7962070732957458,1988,-0.006919338916516677,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected_h2,-0.001,9755,7140,0.7319323423885187,2615,-0.006106486850263571,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected_h2,-0.0005,9755,6356,0.6515633008713481,3399,-0.005351917638442013,-0.0018672056929591163,,
val,p1_exit_after_h1_no_selected_h2,0.0,9755,5456,0.5593029215786776,4299,-0.004697114961115453,-0.0018672056929591163,,
