rank,tp_h1,tp_exit1_selected,tp_h2,tp_exit2_selected,tp_exit2_no_selected,val_e_net,test_e_net,val_hit_rate,test_hit_rate,val_trades,test_trades
1,0.006500000000000001,0.005,0.007,0.007,0.006,-0.0003622740598484,-0.0005060750964952555,0.3364076288072872,0.31365777080062796,17565,19110
2,0.006500000000000001,0.005,0.007,0.007,0.006500000000000001,-0.0003623974434715145,-0.0005037646467991638,0.3247366922857956,0.3019361590790162,17565,19110
3,0.006500000000000001,0.005,0.007,0.007,0.007,-0.00036329816654661706,-0.0005002609373344064,0.31448904070594935,0.2923076923076923,17565,19110
4,0.006500000000000001,0.005,0.007,0.006500000000000001,0.006,-0.0003639994349449396,-0.0005063881313850138,0.33919726729291205,0.3161172161172161,17565,19110
5,0.006500000000000001,0.005,0.007,0.006500000000000001,0.006500000000000001,-0.0003641228185680541,-0.0005040776816889221,0.32752633077142046,0.30439560439560437,17565,19110
