split,base_signals,base_no_h1,base_no_h1_rate,base_low_h1_le_neg01,base_low_h1_le_neg01_rate,base_low_h1_le_neg005,base_low_h1_le_neg005_rate,exit1_selected,exit1_selected_rate,exit1_no_selected,exit1_no_selected_rate,exit1_top_fraction,exit1_no_selected_no_h2,exit1_no_selected_no_h2_rate,exit2_selected,exit2_selected_rate,exit2_no_selected,exit2_no_selected_rate,exit2_top_fraction,base_pred_threshold,exit1_pred_threshold,exit2_pred_threshold,tp_threshold
val,17565,14604,0.8314261315115286,12258,0.697865072587532,14621,0.8323939652718474,4849,0.33203231991235277,9755,0.6679676800876472,0.2,9234,0.9465914915427985,1190,0.12887156162009963,8044,0.8711284383799004,0.1,0.4088947756740257,0.4512440239103141,0.4541542395153381,0.004
test,19110,15972,0.8357927786499215,12861,0.6729984301412872,15602,0.8164311878597593,4824,0.3020285499624343,11148,0.6979714500375658,0.2,10496,0.9415141729458198,1215,0.11575838414634146,9281,0.8842416158536586,0.1,0.4088947756740257,0.4512440239103141,0.4541542395153381,0.004
